acronym,id,name,structure_id_path,parent_structure_id
VI,653,Abducens nucleus,/997/8/343/1065/354/370/653/,370.0
ACVII,576,Accessory facial motor nucleus,/997/8/343/1065/354/370/576/,370.0
AOB,151,Accessory olfactory bulb,/997/8/567/688/695/698/151/,698.0
AOBgl,188,"Accessory olfactory bulb, glomerular layer",/997/8/567/688/695/698/151/188/,151.0
AOBgr,196,"Accessory olfactory bulb, granular layer",/997/8/567/688/695/698/151/196/,151.0
AOBmi,204,"Accessory olfactory bulb, mitral layer",/997/8/567/688/695/698/151/204/,151.0
ASO,332,Accessory supraoptic group,/997/8/343/1129/1097/157/332/,157.0
Acs5,549009219,Accessory trigeminal nucleus,/997/8/343/1065/771/987/549009219/,987.0
AI,95,Agranular insular area,/997/8/567/688/695/315/95/,315.0
AId,104,"Agranular insular area, dorsal part",/997/8/567/688/695/315/95/104/,95.0
AId1,996,"Agranular insular area, dorsal part, layer 1",/997/8/567/688/695/315/95/104/996/,104.0
AId2/3,328,"Agranular insular area, dorsal part, layer 2/3",/997/8/567/688/695/315/95/104/328/,104.0
AId5,1101,"Agranular insular area, dorsal part, layer 5",/997/8/567/688/695/315/95/104/1101/,104.0
AId6a,783,"Agranular insular area, dorsal part, layer 6a",/997/8/567/688/695/315/95/104/783/,104.0
AId6b,831,"Agranular insular area, dorsal part, layer 6b",/997/8/567/688/695/315/95/104/831/,104.0
AIp,111,"Agranular insular area, posterior part",/997/8/567/688/695/315/95/111/,95.0
AIp1,120,"Agranular insular area, posterior part, layer 1",/997/8/567/688/695/315/95/111/120/,111.0
AIp2/3,163,"Agranular insular area, posterior part, layer 2/3",/997/8/567/688/695/315/95/111/163/,111.0
AIp5,344,"Agranular insular area, posterior part, layer 5",/997/8/567/688/695/315/95/111/344/,111.0
AIp6a,314,"Agranular insular area, posterior part, layer 6a",/997/8/567/688/695/315/95/111/314/,111.0
AIp6b,355,"Agranular insular area, posterior part, layer 6b",/997/8/567/688/695/315/95/111/355/,111.0
AIv,119,"Agranular insular area, ventral part",/997/8/567/688/695/315/95/119/,95.0
AIv1,704,"Agranular insular area, ventral part, layer 1",/997/8/567/688/695/315/95/119/704/,119.0
AIv2/3,694,"Agranular insular area, ventral part, layer 2/3",/997/8/567/688/695/315/95/119/694/,119.0
AIv5,800,"Agranular insular area, ventral part, layer 5",/997/8/567/688/695/315/95/119/800/,119.0
AIv6a,675,"Agranular insular area, ventral part, layer 6a",/997/8/567/688/695/315/95/119/675/,119.0
AIv6b,699,"Agranular insular area, ventral part, layer 6b",/997/8/567/688/695/315/95/119/699/,119.0
CA,375,Ammon's horn,/997/8/567/688/695/1089/1080/375/,1080.0
